Washed Up Ballers	5	3PT Field Goal Miss	
Blues Clues	6	Rebound - Defensive	
Blues Clues	6	Turnover	
Washed Up Ballers	1	Turnover	
Blues Clues	6	Steal	
Blues Clues	3	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	2	Turnover	
Blues Clues	4	Steal	
Blues Clues	4	2PT Field Goal Made	
Washed Up Ballers	8	3PT Field Goal Miss	
Washed Up Ballers	6	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Made	
Blues Clues	6	Foul	
Washed Up Ballers	1	FT - Miss	
Blues Clues	12	Rebound - Defensive	
Blues Clues	6	2PT Field Goal Made	
Washed Up Ballers	8	2PT Field Goal Made	
Blues Clues	1	2PT Field Goal Miss	
Washed Up Ballers	2	Rebound - Defensive	
Washed Up Ballers	2	Turnover	
Blues Clues	3	3PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Defensive	
Washed Up Ballers	1	Turnover	
Blues Clues	6	3PT Field Goal Made	
Washed Up Ballers	8	3PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Miss	
Blues Clues	12	Rebound - Defensive	
Blues Clues	4	3PT Field Goal Miss	
Washed Up Ballers	1	2PT Field Goal Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Miss	
Blues Clues	12	Rebound - Defensive	
Blues Clues	3	2PT Field Goal Made	
Blues Clues	12	Assist	
Washed Up Ballers	8	Turnover	
Blues Clues	4	2PT Field Goal Made	
Washed Up Ballers	8	Foul	
Blues Clues	4	FT - Miss	
Blues Clues	3	Rebound - Defensive	
Blues Clues	1	2PT Field Goal Miss	
Washed Up Ballers	5	Rebound - Defensive	
Washed Up Ballers	8	2PT Field Goal Miss	
Blues Clues	12	Rebound - Defensive	
Washed Up Ballers	5	Foul	
Blues Clues	12	FT - Made	2pts
Washed Up Ballers	7	Turnover	
Blues Clues	12	Steal	
Blues Clues	4	Turnover	
Washed Up Ballers	7	Steal	
Blues Clues	12	Foul	
Washed Up Ballers	5	FT - Miss	
Washed Up Ballers	1	Rebound - Offensive	
Washed Up Ballers	1	2PT Field Goal Miss	
